Name	Chr	Start	Stop	Up	Down	size
chrI: 156285-156754	chrI	156285.0	156754.0	YAR003W	YAR007C	469.0
chrI: 158619-158966	chrI	158619.0	158966.0	YAR007C	YAR008W	347.0
chrI: 168871-169375	chrI	168871.0	169375.0	YAR014C	YAR015W	504.0
chrI: 170295-170396	chrI	170295.0	170396.0	YAR015W	YAR018C	101.0
chrI: 171703-172211	chrI	171703.0	172211.0	YAR018C	YAR019C	508.0
chrI: 175135-176856	chrI	175135.0	176856.0	YAR019C	YAR020C	1721.0
chrI: 184477-186836	chrI	184477.0	186836.0	YAR027W	YAR031W	2359.0
chrI: 187732-188107	chrI	187732.0	188107.0	YAR031W	YAR033W	375.0
chrI: 188811-190193	chrI	188811.0	190193.0	YAR033W	YAR035W	1382.0
chrI: 192256-192619	chrI	192256.0	192619.0	YAR035W	YAR042W	363.0
chrII: 7733-10847	chrII	7733.0	10847.0	YBL108C-A	YBL106C	3114.0
chrII: 13879-14241	chrII	13879.0	14241.0	YBL106C	YBL105C	362.0
chrII: 17696-22076	chrII	17696.0	22076.0	YBL105C	YBL103C	4380.0
chrII: 23536-24098	chrII	23536.0	24098.0	YBL103C	YBL102W	562.0
chrII: 24745-24946	chrII	24745.0	24946.0	YBL102W	YBL101C	201.0
chrII: 38690-39145	chrII	38690.0	39145.0	YBL099W	YBL098W	455.0
chrII: 40527-40831	chrII	40527.0	40831.0	YBL098W	YBL097W	304.0
chrII: 43095-44256	chrII	43095.0	44256.0	YBL097W	YBL093C	1161.0
chrII: 44918-45978	chrII	44918.0	45978.0	YBL093C	YBL092W	1060.0
chrII: 46370-46565	chrII	46370.0	46565.0	YBL092W	YBL091C-A	195.0
chrII: 47180-47363	chrII	47180.0	47363.0	YBL091C-A	YBL091C	183.0
chrII: 48628-48825	chrII	48628.0	48825.0	YBL091C	YBL090W	197.0
chrII: 49358-49574	chrII	49358.0	49574.0	YBL090W	YBL089W	216.0
chrII: 50953-51019	chrII	50953.0	51019.0	YBL089W	YBL088C	66.0
chrII: 59382-59822	chrII	59382.0	59822.0	YBL088C	YBL087C	440.0
chrII: 60739-63876	chrII	60739.0	63876.0	YBL087C	YBL085W	3137.0
chrII: 66818-67169	chrII	66818.0	67169.0	YBL085W	YBL084C	351.0
chrII: 69445-69751	chrII	69445.0	69751.0	YBL084C	YBL082C	306.0
chrII: 71127-73070	chrII	71127.0	73070.0	YBL082C	YBL080C	1943.0
chrII: 74695-75259	chrII	74695.0	75259.0	YBL080C	YBL079W	564.0
chrII: 79767-80378	chrII	79767.0	80378.0	YBL079W	YBL078C	611.0
chrII: 80731-81043	chrII	80731.0	81043.0	YBL078C	YBL076C	312.0
chrII: 84261-84499	chrII	84261.0	84499.0	YBL076C	YBL075C	238.0
chrII: 86448-86722	chrII	86448.0	86722.0	YBL075C	YBL074C	274.0
chrII: 87789-88523	chrII	87789.0	88523.0	YBL074C	YBL072C	734.0
chrII: 89125-89978	chrII	89125.0	89978.0	YBL072C	YBL071W-A	853.0
chrII: 90226-90741	chrII	90226.0	90741.0	YBL071W-A	YBL069W	515.0
chrII: 92030-92414	chrII	92030.0	92414.0	YBL069W	YBL068W	384.0
chrII: 93394-93639	chrII	93394.0	93639.0	YBL068W	YBL067C	245.0
chrII: 95882-100115	chrII	95882.0	100115.0	YBL067C	YBL066C	4233.0
chrII: 96669-100371	chrII	96669.0	100371.0	YBL066C	YBL064C	3702.0
chrII: 101156-101886	chrII	101156.0	101886.0	YBL064C	YBL063W	730.0
chrII: 105221-105316	chrII	105221.0	105316.0	YBL063W	YBL061C	95.0
chrII: 107406-107932	chrII	107406.0	107932.0	YBL061C	YBL060W	526.0
chrII: 109995-110125	chrII	109995.0	110125.0	YBL060W	YBL059C-A	130.0
chrII: 110539-111437	chrII	110539.0	111437.0	YBL059C-A	YBL058W	898.0
chrII: 112708-112801	chrII	112708.0	112801.0	YBL058W	YBL057C	93.0
chrII: 113427-113762	chrII	113427.0	113762.0	YBL057C	YBL056W	335.0
chrII: 115168-115573	chrII	115168.0	115573.0	YBL056W	YBL055C	405.0
chrII: 116829-117589	chrII	116829.0	117589.0	YBL055C	YBL054W	760.0
chrII: 119166-119379	chrII	119166.0	119379.0	YBL054W	YBL052C	213.0
chrII: 121874-122753	chrII	121874.0	122753.0	YBL052C	YBL051C	879.0
chrII: 124759-125125	chrII	124759.0	125125.0	YBL051C	YBL050W	366.0
chrII: 126119-126828	chrII	126119.0	126828.0	YBL050W	YBL049W	709.0
chrII: 127244-127895	chrII	127244.0	127895.0	YBL049W	YBL047C	651.0
chrII: 132040-132424	chrII	132040.0	132424.0	YBL047C	YBL046W	384.0
chrII: 133749-134143	chrII	133749.0	134143.0	YBL046W	YBL045C	394.0
chrII: 135516-136688	chrII	135516.0	136688.0	YBL045C	YBL043W	1172.0
chrII: 137461-138341	chrII	137461.0	138341.0	YBL043W	YBL042C	880.0
chrII: 140260-141247	chrII	140260.0	141247.0	YBL042C	YBL041W	987.0
chrII: 141972-142112	chrII	141972.0	142112.0	YBL041W	YBL040C	140.0
chrII: 142868-143989	chrII	142868.0	143989.0	YBL040C	YBL039C	1121.0
chrII: 145728-146187	chrII	145728.0	146187.0	YBL039C	YBL038W	459.0
chrII: 146885-147209	chrII	146885.0	147209.0	YBL038W	YBL037W	324.0
chrII: 150286-150447	chrII	150286.0	150447.0	YBL037W	YBL036C	161.0
chrII: 151220-151493	chrII	151220.0	151493.0	YBL036C	YBL035C	273.0
chrII: 153610-153848	chrII	153610.0	153848.0	YBL035C	YBL034C	238.0
chrII: 158389-158656	chrII	158389.0	158656.0	YBL034C	YBL033C	267.0
chrII: 159693-160184	chrII	159693.0	160184.0	YBL033C	YBL032W	491.0
chrII: 161329-161699	chrII	161329.0	161699.0	YBL032W	YBL031W	370.0
chrII: 162715-163041	chrII	162715.0	163041.0	YBL031W	YBL030C	326.0
chrII: 163997-167518	chrII	163997.0	167518.0	YBL030C	YBL028C	3521.0
chrII: 167838-168423	chrII	167838.0	168423.0	YBL028C	YBL027W	585.0
chrII: 169376-170623	chrII	169376.0	170623.0	YBL027W	YBL026W	1247.0
chrII: 171038-171481	chrII	171038.0	171481.0	YBL026W	YBL025W	443.0
chrII: 171918-172534	chrII	171918.0	172534.0	YBL025W	YBL024W	616.0
chrII: 174588-174920	chrII	174588.0	174920.0	YBL024W	YBL023C	332.0
chrII: 177526-177874	chrII	177526.0	177874.0	YBL023C	YBL022C	348.0
chrII: 181275-181660	chrII	181275.0	181660.0	YBL022C	YBL021C	385.0
chrII: 182094-182401	chrII	182094.0	182401.0	YBL021C	YBL020W	307.0
chrII: 184125-184353	chrII	184125.0	184353.0	YBL020W	YBL019W	228.0
chrII: 185915-185998	chrII	185915.0	185998.0	YBL019W	YBL018C	83.0
chrII: 186474-186844	chrII	186474.0	186844.0	YBL018C	YBL017C	370.0
chrII: 191583-192451	chrII	191583.0	192451.0	YBL017C	YBL016W	868.0
chrII: 193512-194122	chrII	193512.0	194122.0	YBL016W	YBL015W	610.0
chrII: 195702-199064	chrII	195702.0	199064.0	YBL015W	YBL014C	3362.0
chrII: 201748-202056	chrII	201748.0	202056.0	YBL014C	YBL013W	308.0
chrII: 203261-203538	chrII	203261.0	203538.0	YBL013W	YBL011W	277.0
chrII: 205817-207194	chrII	205817.0	207194.0	YBL011W	YBL009W	1377.0
chrII: 209224-209653	chrII	209224.0	209653.0	YBL009W	YBL008W	429.0
chrII: 212175-212632	chrII	212175.0	212632.0	YBL008W	YBL007C	457.0
chrII: 216366-216587	chrII	216366.0	216587.0	YBL007C	YBL006C	221.0
chrII: 217129-217470	chrII	217129.0	217470.0	YBL006C	YBL005W	341.0
chrII: 235117-235394	chrII	235117.0	235394.0	YBL004W	YBL003C	277.0
chrII: 235792-236492	chrII	235792.0	236492.0	YBL003C	YBL002W	700.0
chrII: 236887-237153	chrII	236887.0	237153.0	YBL002W	YBL001C	266.0
chrII: 237467-238941	chrII	237467.0	238941.0	YBL001C	YBR001C	1474.0
chrII: 241283-241708	chrII	241283.0	241708.0	YBR001C	YBR002C	425.0
chrII: 242568-242809	chrII	242568.0	242809.0	YBR002C	YBR003W	241.0
chrII: 244230-244366	chrII	244230.0	244366.0	YBR003W	YBR004C	136.0
chrII: 245667-245906	chrII	245667.0	245906.0	YBR004C	YBR005W	239.0
chrII: 246547-247010	chrII	246547.0	247010.0	YBR005W	YBR006W	463.0
chrII: 248503-252563	chrII	248503.0	252563.0	YBR006W	YBR008C	4060.0
chrII: 254209-255373	chrII	254209.0	255373.0	YBR008C	YBR009C	1164.0
chrII: 255684-256331	chrII	255684.0	256331.0	YBR009C	YBR010W	647.0
chrII: 256741-257112	chrII	256741.0	257112.0	YBR010W	YBR011C	371.0
chrII: 267336-267710	chrII	267336.0	267710.0	YBR014C	YBR015C	374.0
chrII: 269503-270247	chrII	269503.0	270247.0	YBR015C	YBR016W	744.0
chrII: 270633-270947	chrII	270633.0	270947.0	YBR016W	YBR017C	314.0
chrII: 273703-274427	chrII	273703.0	274427.0	YBR017C	YBR018C	724.0
chrII: 275527-276253	chrII	275527.0	276253.0	YBR018C	YBR019C	726.0
chrII: 278352-279021	chrII	278352.0	279021.0	YBR019C	YBR020W	669.0
chrII: 280607-281443	chrII	280607.0	281443.0	YBR020W	YBR021W	836.0
chrII: 283344-283738	chrII	283344.0	283738.0	YBR021W	YBR022W	394.0
chrII: 284271-284428	chrII	284271.0	284428.0	YBR022W	YBR023C	157.0
chrII: 287925-289445	chrII	287925.0	289445.0	YBR023C	YBR024W	1520.0
chrII: 290350-290681	chrII	290350.0	290681.0	YBR024W	YBR025C	331.0
chrII: 291865-292877	chrII	291865.0	292877.0	YBR025C	YBR026C	1012.0
chrII: 294019-296369	chrII	294019.0	296369.0	YBR026C	YBR029C	2350.0
chrII: 297742-298292	chrII	297742.0	298292.0	YBR029C	YBR030W	550.0
chrII: 299950-300166	chrII	299950.0	300166.0	YBR030W	YBR031W	216.0
chrII: 301254-304930	chrII	301254.0	304930.0	YBR031W	YBR034C	3676.0
chrII: 305976-306269	chrII	305976.0	306269.0	YBR034C	YBR035C	293.0
chrII: 306955-309081	chrII	306955.0	309081.0	YBR035C	YBR036C	2126.0
chrII: 310313-310565	chrII	310313.0	310565.0	YBR036C	YBR037C	252.0
chrII: 311452-311898	chrII	311452.0	311898.0	YBR037C	YBR038W	446.0
chrII: 314789-315575	chrII	314789.0	315575.0	YBR038W	YBR039W	786.0
chrII: 316510-316968	chrII	316510.0	316968.0	YBR039W	YBR040W	458.0
chrII: 317864-318266	chrII	317864.0	318266.0	YBR040W	YBR041W	402.0
chrII: 320275-320416	chrII	320275.0	320416.0	YBR041W	YBR042C	141.0
chrII: 321609-321876	chrII	321609.0	321876.0	YBR042C	YBR043C	267.0
chrII: 323945-324341	chrII	323945.0	324341.0	YBR043C	YBR044C	396.0
chrII: 326059-328173	chrII	326059.0	328173.0	YBR044C	YBR045C	2114.0
chrII: 330092-330507	chrII	330092.0	330507.0	YBR045C	YBR046C	415.0
chrII: 331511-332831	chrII	331511.0	332831.0	YBR046C	YBR048W	1320.0
chrII: 333812-334386	chrII	333812.0	334386.0	YBR048W	YBR049C	574.0
chrII: 336818-337183	chrII	336818.0	337183.0	YBR049C	YBR050C	365.0
chrII: 338199-338720	chrII	338199.0	338720.0	YBR050C	YBR052C	521.0
chrII: 339352-343101	chrII	339352.0	343101.0	YBR052C	YBR054W	3749.0
chrII: 344135-344602	chrII	344135.0	344602.0	YBR054W	YBR055C	467.0
chrII: 347301-352193	chrII	347301.0	352193.0	YBR055C	YBR057C	4892.0
chrII: 353293-353672	chrII	353293.0	353672.0	YBR057C	YBR058C	379.0
chrII: 356017-356324	chrII	356017.0	356324.0	YBR058C	YBR058C-A	307.0
chrII: 356566-356861	chrII	356566.0	356861.0	YBR058C-A	YBR059C	295.0
chrII: 360187-360652	chrII	360187.0	360652.0	YBR059C	YBR060C	465.0
chrII: 362514-364787	chrII	362514.0	364787.0	YBR060C	YBR061C	2273.0
chrII: 365719-368584	chrII	365719.0	368584.0	YBR061C	YBR065C	2865.0
chrII: 369678-370037	chrII	369678.0	370037.0	YBR065C	YBR066C	359.0
chrII: 370699-372103	chrII	370699.0	372103.0	YBR066C	YBR067C	1404.0
chrII: 372735-373861	chrII	372735.0	373861.0	YBR067C	YBR068C	1126.0
chrII: 375690-376574	chrII	375690.0	376574.0	YBR068C	YBR069C	884.0
chrII: 378433-379221	chrII	378433.0	379221.0	YBR069C	YBR070C	788.0
chrII: 379934-382030	chrII	379934.0	382030.0	YBR070C	YBR072W	2096.0
chrII: 382674-383112	chrII	382674.0	383112.0	YBR072W	YBR073W	438.0
chrII: 385988-390227	chrII	385988.0	390227.0	YBR073W	YBR076W	4239.0
chrII: 391291-391805	chrII	391291.0	391805.0	YBR076W	YBR077C	514.0
chrII: 392293-393123	chrII	392293.0	393123.0	YBR077C	YBR078W	830.0
chrII: 394742-395383	chrII	394742.0	395383.0	YBR078W	YBR079C	641.0
chrII: 398277-398614	chrII	398277.0	398614.0	YBR079C	YBR080C	337.0
chrII: 400890-401253	chrII	400890.0	401253.0	YBR080C	YBR081C	363.0
chrII: 405251-406628	chrII	405251.0	406628.0	YBR081C	YBR082C	1377.0
chrII: 407169-409169	chrII	407169.0	409169.0	YBR082C	YBR083W	2000.0
chrII: 410629-411054	chrII	410629.0	411054.0	YBR083W	YBR084W	425.0
chrII: 413981-414186	chrII	413981.0	414186.0	YBR084W	YBR084C-A	205.0
chrII: 415261-415983	chrII	415261.0	415983.0	YBR084C-A	YBR085W	722.0
chrII: 416906-420201	chrII	416906.0	420201.0	YBR085W	YBR086C	3295.0
chrII: 423041-423765	chrII	423041.0	423765.0	YBR086C	YBR087W	724.0
chrII: 424829-424990	chrII	424829.0	424990.0	YBR087W	YBR088C	161.0
chrII: 425766-426190	chrII	425766.0	426190.0	YBR088C	YBR089C-A	424.0
chrII: 426489-427155	chrII	426489.0	427155.0	YBR089C-A	YBR091C	666.0
chrII: 427484-427698	chrII	427484.0	427698.0	YBR091C	YBR092C	214.0
chrII: 429101-429548	chrII	429101.0	429548.0	YBR092C	YBR093C	447.0
chrII: 430951-432036	chrII	430951.0	432036.0	YBR093C	YBR094W	1085.0
chrII: 434297-434406	chrII	434297.0	434406.0	YBR094W	YBR095C	109.0
chrII: 435698-436951	chrII	435698.0	436951.0	YBR095C	YBR097W	1253.0
chrII: 441315-441515	chrII	441315.0	441515.0	YBR097W	YBR098W	200.0
chrII: 443590-443821	chrII	443590.0	443821.0	YBR098W	YBR101C	231.0
chrII: 444693-445062	chrII	444693.0	445062.0	YBR101C	YBR102C	369.0
chrII: 447323-447709	chrII	447323.0	447709.0	YBR102C	YBR103W	386.0
chrII: 449316-449667	chrII	449316.0	449667.0	YBR103W	YBR104W	351.0
chrII: 450656-450881	chrII	450656.0	450881.0	YBR104W	YBR105C	225.0
chrII: 451969-452658	chrII	451969.0	452658.0	YBR105C	YBR106W	689.0
chrII: 453224-453793	chrII	453224.0	453793.0	YBR106W	YBR107C	569.0
chrII: 454530-454822	chrII	454530.0	454822.0	YBR107C	YBR108W	292.0
chrII: 457665-457919	chrII	457665.0	457919.0	YBR108W	YBR109C	254.0
chrII: 458362-458872	chrII	458362.0	458872.0	YBR109C	YBR110W	510.0
chrII: 460221-461178	chrII	460221.0	461178.0	YBR110W	YBR111C	957.0
chrII: 461873-462139	chrII	461873.0	462139.0	YBR111C	YBR111W-A	266.0
chrII: 462579-462870	chrII	462579.0	462870.0	YBR111W-A	YBR112C	291.0
chrII: 465770-467248	chrII	465770.0	467248.0	YBR112C	YBR114W	1478.0
chrII: 469620-469748	chrII	469620.0	469748.0	YBR114W	YBR115C	128.0
chrII: 473926-474392	chrII	473926.0	474392.0	YBR115C	YBR117C	466.0
chrII: 476437-477671	chrII	476437.0	477671.0	YBR117C	YBR118W	1234.0
chrII: 479047-479338	chrII	479047.0	479338.0	YBR118W	YBR119W	291.0
chrII: 480323-480435	chrII	480323.0	480435.0	YBR119W	YBR120C	112.0
chrII: 480923-481364	chrII	480923.0	481364.0	YBR120C	YBR121C	441.0
chrII: 483367-483970	chrII	483367.0	483970.0	YBR121C	YBR122C	603.0
chrII: 484503-484742	chrII	484503.0	484742.0	YBR122C	YBR123C	239.0
chrII: 486691-487199	chrII	486691.0	487199.0	YBR123C	YBR125C	508.0
chrII: 488380-488905	chrII	488380.0	488905.0	YBR125C	YBR126C	525.0
chrII: 490392-491269	chrII	490392.0	491269.0	YBR126C	YBR127C	877.0
chrII: 492822-493081	chrII	492822.0	493081.0	YBR127C	YBR128C	259.0
chrII: 494115-494353	chrII	494115.0	494353.0	YBR128C	YBR129C	238.0
chrII: 495339-495592	chrII	495339.0	495592.0	YBR129C	YBR130C	253.0
chrII: 496869-497163	chrII	496869.0	497163.0	YBR130C	YBR131W	294.0
chrII: 499277-499652	chrII	499277.0	499652.0	YBR131W	YBR132C	375.0
chrII: 501442-501804	chrII	501442.0	501804.0	YBR132C	YBR133C	362.0
chrII: 504287-504854	chrII	504287.0	504854.0	YBR133C	YBR135W	567.0
chrII: 505306-505668	chrII	505306.0	505668.0	YBR135W	YBR136W	362.0
chrII: 512774-513044	chrII	512774.0	513044.0	YBR136W	YBR137W	270.0
chrII: 513583-515664	chrII	513583.0	515664.0	YBR137W	YBR139W	2081.0
chrII: 517190-517350	chrII	517190.0	517350.0	YBR139W	YBR140C	160.0
chrII: 526628-528317	chrII	526628.0	528317.0	YBR140C	YBR142W	1689.0
chrII: 530638-530869	chrII	530638.0	530869.0	YBR142W	YBR143C	231.0
chrII: 532182-533762	chrII	532182.0	533762.0	YBR143C	YBR145W	1580.0
chrII: 534817-535260	chrII	534817.0	535260.0	YBR145W	YBR146W	443.0
chrII: 536096-536575	chrII	536096.0	536575.0	YBR146W	YBR147W	479.0
chrII: 537465-537876	chrII	537465.0	537876.0	YBR147W	YBR148W	411.0
chrII: 539705-539987	chrII	539705.0	539987.0	YBR148W	YBR149W	282.0
chrII: 541021-541209	chrII	541021.0	541209.0	YBR149W	YBR150C	188.0
chrII: 544493-545028	chrII	544493.0	545028.0	YBR150C	YBR151W	535.0
chrII: 545978-546376	chrII	545978.0	546376.0	YBR151W	YBR152W	398.0
chrII: 547251-547460	chrII	547251.0	547460.0	YBR152W	YBR153W	209.0
chrII: 548194-548362	chrII	548194.0	548362.0	YBR153W	YBR154C	168.0
chrII: 549009-549771	chrII	549009.0	549771.0	YBR154C	YBR155W	762.0
chrII: 550928-551104	chrII	550928.0	551104.0	YBR155W	YBR156C	176.0
chrII: 553200-553543	chrII	553200.0	553543.0	YBR156C	YBR157C	343.0
chrII: 554310-556549	chrII	554310.0	556549.0	YBR157C	YBR158W	2239.0
chrII: 558198-558685	chrII	558198.0	558685.0	YBR158W	YBR159W	487.0
chrII: 559728-560078	chrII	559728.0	560078.0	YBR159W	YBR160W	350.0
chrII: 560974-561634	chrII	560974.0	561634.0	YBR160W	YBR161W	660.0
chrII: 562764-563203	chrII	562764.0	563203.0	YBR161W	YBR162C	439.0
chrII: 564570-565231	chrII	564570.0	565231.0	YBR162C	YBR162W-A	661.0
chrII: 565428-565723	chrII	565428.0	565723.0	YBR162W-A	YBR163W	295.0
chrII: 567480-567875	chrII	567480.0	567875.0	YBR163W	YBR164C	395.0
chrII: 568426-568852	chrII	568426.0	568852.0	YBR164C	YBR165W	426.0
chrII: 569685-569842	chrII	569685.0	569842.0	YBR165W	YBR166C	157.0
chrII: 571200-571468	chrII	571200.0	571468.0	YBR166C	YBR167C	268.0
chrII: 571890-572371	chrII	571890.0	572371.0	YBR167C	YBR168W	481.0
chrII: 573612-573915	chrII	573612.0	573915.0	YBR168W	YBR169C	303.0
chrII: 575996-576344	chrII	575996.0	576344.0	YBR169C	YBR170C	348.0
chrII: 578086-578364	chrII	578086.0	578364.0	YBR170C	YBR171W	278.0
chrII: 578984-579150	chrII	578984.0	579150.0	YBR171W	YBR172C	166.0
chrII: 581372-581726	chrII	581372.0	581726.0	YBR172C	YBR173C	354.0
chrII: 582172-582408	chrII	582172.0	582408.0	YBR173C	YBR175W	236.0
chrII: 583355-583720	chrII	583355.0	583720.0	YBR175W	YBR176W	365.0
chrII: 584658-584807	chrII	584658.0	584807.0	YBR176W	YBR177C	149.0
chrII: 586162-586547	chrII	586162.0	586547.0	YBR177C	YBR179C	385.0
chrII: 589114-589741	chrII	589114.0	589741.0	YBR179C	YBR180W	627.0
chrII: 591459-591712	chrII	591459.0	591712.0	YBR180W	YBR181C	253.0
chrII: 592774-593506	chrII	592774.0	593506.0	YBR181C	YBR182C	732.0
chrII: 594864-596115	chrII	594864.0	596115.0	YBR182C	YBR183W	1251.0
chrII: 597065-599123	chrII	597065.0	599123.0	YBR183W	YBR185C	2058.0
chrII: 599959-600553	chrII	599959.0	600553.0	YBR185C	YBR186W	594.0
chrII: 602360-603685	chrII	602360.0	603685.0	YBR186W	YBR188C	1325.0
chrII: 604107-604508	chrII	604107.0	604508.0	YBR188C	YBR189W	401.0
chrII: 605508-606270	chrII	605508.0	606270.0	YBR189W	YBR191W	762.0
chrII: 607140-607652	chrII	607140.0	607652.0	YBR191W	YBR192W	512.0
chrII: 608785-609082	chrII	608785.0	609082.0	YBR192W	YBR193C	297.0
chrII: 609753-610038	chrII	609753.0	610038.0	YBR193C	YBR194W	285.0
chrII: 610409-610614	chrII	610409.0	610614.0	YBR194W	YBR195C	205.0
chrII: 611882-612236	chrII	611882.0	612236.0	YBR195C	YBR196C	354.0
chrII: 613900-616127	chrII	613900.0	616127.0	YBR196C	YBR198C	2227.0
chrII: 618523-618909	chrII	618523.0	618909.0	YBR198C	YBR199W	386.0
chrII: 620303-620872	chrII	620303.0	620872.0	YBR199W	YBR200W	569.0
chrII: 622527-623576	chrII	622527.0	623576.0	YBR200W	YBR201W	1049.0
chrII: 624211-625772	chrII	624211.0	625772.0	YBR201W	YBR202W	1561.0
chrII: 628309-629168	chrII	628309.0	629168.0	YBR202W	YBR203W	859.0
chrII: 631942-632254	chrII	631942.0	632254.0	YBR203W	YBR204C	312.0
chrII: 633381-633622	chrII	633381.0	633622.0	YBR204C	YBR205W	241.0
chrII: 634836-635146	chrII	634836.0	635146.0	YBR205W	YBR207W	310.0
chrII: 636543-636703	chrII	636543.0	636703.0	YBR207W	YBR208C	160.0
chrII: 642210-645550	chrII	642210.0	645550.0	YBR208C	YBR210W	3340.0
chrII: 645978-646158	chrII	645978.0	646158.0	YBR210W	YBR211C	180.0
chrII: 647132-647886	chrII	647132.0	647886.0	YBR211C	YBR212W	754.0
chrII: 649904-650368	chrII	649904.0	650368.0	YBR212W	YBR213W	464.0
chrII: 651192-651415	chrII	651192.0	651415.0	YBR213W	YBR214W	223.0
chrII: 652998-653356	chrII	652998.0	653356.0	YBR214W	YBR215W	358.0
chrII: 655317-655576	chrII	655317.0	655576.0	YBR215W	YBR216C	259.0
